Author,Text,Place of Publication,Date,Printer
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Barcelona,1604,Manescal
"Ledesma, Alonso de ",Conceptos espirituales Parte I,Barcelona,1603,Cormellas
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1599,Sanchez
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1602,Madrigal
"Lope de Vega Carpio, Fenix",Rimas sacras,Madrid,1614,V. de Martin
"Hojeda, Fray Diego de",La Cristiada,Sevilla,1611,Perez
"Quevedo y Villegas, Francisco de",Lagrimas de Hieremias castellanas,,1613,
"Lope de Vega Carpio, Fenix",Isidro,Alcala,1607,Gracian
Davalos y Figueroa,Miscelana austral con Defensa de damas por el mismo,Lima,1603,Ricardo
Davalos y Figueroa,Miscelana austral ,Lima,1602,Ricardo
"Valdivielso, Jose de ",Romancero espiritual de Santisimo Sacramento,Toledo,1612,Rodriguez
"Barco Centenera, Martin del",Argentina,Lisboa,1602,Crasbeeck
,Flores de poetas ilustres,Valladolid,1605,Sanchez
"Perez de Villagra, Gaspar",Historia de La Nueva Mexico,Alcala,1610,Martinez
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Madrid,1617,Martin
,Flor de las comedias de Espana de diferentes autores parte V,Barcelona,1616,Cormellas
,Flor de las comedias de Espana de diferentes autores parte V,Alcala,1615,V. de Martinez
,Cuatro comedias de diversos autores,Cordoba,1613,Cea
,Cuatro comedias de don Luis de Gongoray Lope de Vega,Madrid,1617,Berrillo
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Barcelona,1609,Cormellas
"Lope de Vega Carpio, Fenix",Seis comedias de Lope de Vera Carpio y de otros autores,Lisboa,1603,Crasbeeck
"Lope de Vega Carpio, Fenix",Comedias parte II,Barcelona,1611,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte III,Barcelona,1612,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte IV,Madrid,1614,Siles
"Lope de Vega Carpio, Fenix",Comedias parte VI,Madrid,1615,Martin
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1617,Martin
"Lope de Vega Carpio, Fenix",Comedias parte IX,Barcelona,1618,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte X,Madrid,1618,Martin
"Lope de Vega Carpio, Fenix",Comedias parte X,Barcelona,1618,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte XI,Madrid,1618,Martin
"Lope de Vega Carpio, Fenix",Comedias parte XI,Barcelona,1618,Cormellas
"Suarez de Figueroa, Cristobal",El Pastor Fido,Valencia,1609,Mey
"Cervantes Saavedra, Miguel",Ocho comedias y ocho entremeses nuevos nunca representados,Madrid,1615,Martinez
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1604,Sanchez
"Lope de Vega Carpio, Fenix",Comedias parte I,Amberes,1607,Nucio
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1609,Bostillos
"Lope de Vega Carpio, Fenix",Comedias parte II,Lisboa,1612,Crasbeeck
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1618,Cuesta
"Lope de Vega Carpio, Fenix",Comedias parte III,Madrid,1613,Serrano 
"Lope de Vega Carpio, Fenix",Comedias parte IV,Pamplona,1614,Assiayn
"Lope de Vega Carpio, Fenix",Comedias parte VI,Barcelona,1616,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte VII,Barcelona,1617,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Barcelona,1617,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1618,
,Norte de la poesia espanola,Valencia,1616,Mey
"Jauregui, Juan de ",Aminta,Roma,1607,Paulino
"Lope de Vega Carpio, Fenix",Comedias parte I,Lisboa,1605,Rodriguez
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Madrid,1614,Serrano 
"Lope de Vega Carpio, Fenix",Comedias parte IV,Barcelona,1614,Cormellas
"Lope de Vega Carpio, Fenix",Comedias parte I,Valencia,1605,Leget
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1605,Bostillos
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1609,Martin 
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1610,Martin
"Lope de Vega Carpio, Fenix",Comedias parte II,Valladolid,1611,Cuesta
"Lope de Vega Carpio, Fenix",Comedias parte II-Dos emisiones,Bruselas/Amberes,1611,Velpio/V.de Bellero
"Lope de Vega Carpio, Fenix",Comedias parte I,Zaragoza,1604,Tavanno
"Lope de Vega Carpio, Fenix",Comedias parte VII,Madrid,1617,
