Author,Title,Place of Publication,Year,Printer,Genre
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Lerida,1617,Manescal,Prose
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Medina,1605,Lasso Vaca,Prose
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Valladolid,1605,,Prose
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Barcelona,1605,Cormellas,Prose
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Bruselas,1608,Brunello,Prose
"Loubayssin de Lamarca, Francisco",Enganos desde siglo,Paris,1615,Orry,Prose
"Loubayssin de Lamarca, Francisco",Historia de Don Enrique de Castro,,1617,Guillemont,Prose
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Paris,1605,,Prose
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Barcelona,1605,Cormellas,Prose
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Barcelona,1609,Margarit,Prose
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Bruselas,1610,Velpio,Prose
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Madrid,1618,Martin,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Valencia,1602,,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Barcelona,1602,Amello,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Salamanca,1603,Renaut,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Madrid,1603,ImprentaReal,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Zaragoza,1603,Tavano,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1603,Rodriguez,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1603,Bordon,Prose
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Bruselas,1604,Velpio,Prose
"Morejon, Pedro",Relacion de la persecucion,Zaragosa,1617,Larombe,Prose
"Mercader, Gaspar",El prado de Valencia,Valencia,1600,,Prose
"Mercader, Gaspar",El prado de Valencia,Valencia,1601,Mey,Prose
"Mesa, Christobal de",Valle de lagrimas,Madrid,1607,Cuesta,Prose
"Ona, Pedro de",El temblor de Lima,Lima,1609,Canto,Prose
"Ortunez de Calahorra, Diego",Espejo de pricipes y caballeros,Zaragoza,1617,Lanaja,Prose
"Pantoja, Diego de",Relacion de la entrada de algunos padres,Sevilla,1605,,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,,1603,ImprentaReal,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Madrid,1604,ImprentaReal,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1611,Manescal,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1611,Manescal,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Salamanca,1611,Ramirez,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Madrid,1614,Martin,Prose
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1615,Manescal,Prose
"Salas Barbadillo, Alonso Jeronimo",El caballero puntual,Madrid,1614,Vargas,Prose
"Salas Barbadillo, Alonso Jeronimo",El caballero puntual,Madrid,1616,Cuesta,Prose
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Zaragoza,1612,Sanchez,Prose
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Lerida,1612,Manescal,Prose
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Milan,1616,Bidelo,Prose
"Salas Barbadillo, Alonso Jeronimo",La ingeniosa Elena,Madrid,1614,Herrera,Prose
"Salas Barbadillo, Alonso Jeronimo",Patrona de Madrid restituyda,Madrid,1609,Martin,Prose
Saavedra y Guzman,El peregrino indiano,,,,Prose
"Sierra, Pedro de la",Espejo de pricipes y caballeros Segunda parte,Zaragoza,1617,Cabarte,Prose
"Silva y Toledo, Juan de",Policisne de Beocia,Valladolid,1602,Yniquez de Lequerica,Prose
"Suarez de Figueroa, Cristobal",Historia y anal relacion de las cosas que hicieron los Padres,Madrid,1614,ImprentaReal,Prose
"Suarez de Figueroa, Cristobal",La constante Amarilis,Valencia,1609,???,Prose
"Suarez de Figueroa, Cristobal",La constante Amarilis,Lyon,1614,Montpesier,Prose
"Suarez de Figueroa, Cristobal",El pasajero,Madrid,1617,Sanchez,Prose
"Suarez de Figueroa, Cristobal",El pasajero,Barcelona,1618,Margarit,Prose
"Torquemada, Juan de",Monarquia indiana,Sevilla,1615,Clavijo,Prose
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Ocharte,Poetry
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Lopez,Poetry
"Barco Centenera, Martin del",Argentina,Lisboa,1602,Crasbeeck,Poetry
"Belmont bermudez, Luis",Vida del Padre maestro Ignacio de Loyola,Mexico,1609,,Poetry
Bermudez,El Narciso,Lisboa,1618,,Poetry
"Cervantes Saavedra, Miguel",Viaje del Parnaso,Madrid,1614,Martin,Poetry
"Chen, Juan de",Laberinto amoroso de los mejores y mas nuevos romances,Barcelona,1618,Cormellas,Poetry
Claramonte,Letania moral,Sevilla,1613,Clauxio,Poetry
Davalos y Figueroa,Miscelana austral,Lima,1602,Ricardo,Poetry
Davalos y Figueroa,Miscelana austral con Defensa de damas por el mismo,Lima,1603,Ricardo,Poetry
,El jardin de amadores,Valladolid,1605,,Poetry
,El jardin de amadores,Zaragoza,1611,Larumbe,Poetry
"Eslava, Antonio de",Noches de invierno,Barcelona,1609,Margarit,Poetry
"Eslava, Antonio de",Noches de invierno,Pamplona,1609,Labayen,Poetry
"Eslava, Antonio de",Noches de invierno,Bruselas,1610,Velpio,Poetry
"Espinosa, Pedro de",Flores de poetas ilustres,Valladolid,1605,Sanchez,Poetry
"Hojeda, Fray Diego de",La Cristiada,Sevilla,1611,Perez,Poetry
"Jauregui, Juan de",Rimas,Sevilla,1618,Valleto,Poetry
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Toledo,1609,Rodriguez,Poetry
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Sevilla,1615,,Poetry
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Sevilla,1618,,Poetry
"Lope de Vega Carpio, Fenix",Cuatro romances nuevos,Sevilla,1601,Lorenzana,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1599,Sanchez,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1602,Madrigal,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1603,Madrigal,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Alcala,1607,Gracian,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Barcelona,1608,Anglada,Poetry
"Lope de Vega Carpio, Fenix",Isidro,Madrid,1613,Martin,Poetry
"Lope de Vega Carpio, Fenix",La Dragontea,Valencia,1598,Mey,Poetry
"Lope de Vega Carpio, Fenix",La Dragontea,,1602,Madrigal,Poetry
"Lope de Vega Carpio, Fenix",La Dragontea,Barcelona,1604,Amello,Poetry
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1602,Madrigal,Poetry
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Barcelona,1604,Manescal,Poetry
"Lope de Vega Carpio, Fenix",La hermosura de Angelica,Madrid,1605,Cuesta,Poetry
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Madrid,1609,Cuesta,Poetry
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Barcelona,1609,,Poetry
"Lope de Vega Carpio, Fenix",La Jerusalen conquistada,Lisboa,1611,Alvarez,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Sevilla,1604,Hidalgo,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Barcelona,1604,Amello,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Lisboa,1605,Crasbeeck,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1609,Martin,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Milan,1611,Bordon,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1612,,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Barcelona,1612,,Poetry
"Lope de Vega Carpio, Fenix",Rimas,Madrid,1613,Martin,Poetry
"Lope de Vega Carpio, Fenix",Rimas sacras,Madrid,1614,V. de Martin,Poetry
"Lope de Vega Carpio, Fenix",Rimas sacras,Lerida,1615,Manescal,Poetry
"Lope de Vega Carpio, Fenix",Rimas sacras,Lisboa,1616,Crasbeeck,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1600,Sanchez,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1602,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1603,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1603,Cormellas,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1604,Torre,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1604,Cormellas,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1604,Cendrat,Poetry
